DEPTH	RHOZ	AT60	DPHZ	CALI	RXOZ	ATD2	IHV	RSOZ	CNTC	AT20	ATCO90	GR	FCD	SMNO	HDRA	RVSRU	RXV	NPOR	AT10	AT30	AT90	ATD1	SP	RWA	BS	ICV	SMIN	RSP	DSOZ	PEFZ	RVDRU	RVV	RXRU	CFTC	NPHI	TNPH	
[m MD]	[Unknown]	[Ohm.m]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Ohm.m]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Ohm.m]	[Ohm.m]	[Ohm.m]	[Unknown]	[mV]	[Ohm.m]	[in]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	
391,97	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1254,998	-999.25	-999.25	37,23101	5,5	-999.25	-999.25	-999.25	-999.25	0,58191	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	324,9798	0,5845	0,56325	
392,13	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1287,647	-999.25	-999.25	32,33872	5,5	-999.25	-999.25	-999.25	-999.25	0,59282	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	327,5786	0,51042	0,58323	
392,28	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1307,392	-999.25	-999.25	36,57043	5,5	-999.25	-999.25	-999.25	-999.25	0,49019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	370,4587	0,5193	0,48216	
392,43	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1354,652	-999.25	-999.25	42,00316	5,5	-999.25	-999.25	-999.25	-999.25	0,46896	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	380,3884	0,47799	0,48827	
392,58	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1375,03	-999.25	-999.25	44,54665	5,5	-999.25	-999.25	-999.25	-999.25	0,47197	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	397,0051	0,50778	0,46606	
392,73	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1411,6	-999.25	-999.25	44,58731	5,5	-999.25	-999.25	-999.25	-999.25	0,48567	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	389,4745	0,54157	0,50116	
392,89	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1433,623	-999.25	-999.25	46,09726	5,5	-999.25	-999.25	-999.25	-999.25	0,56478	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	378,7815	0,5418	0,53808	
393,04	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1429,03	-999.25	-999.25	49,23784	5,5	-999.25	-999.25	-999.25	-999.25	0,52745	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	375,3091	0,60189	0,54383	
393,19	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1446,712	-999.25	-999.25	46,33061	5,5	-999.25	-999.25	-999.25	-999.25	0,60463	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	353,949	0,57049	0,63439	
393,34	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1444,12	-999.25	-999.25	41,88557	5,5	-999.25	-999.25	-999.25	-999.25	0,67969	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	354,7146	0,61315	0,62793	
