IDENTIFICADOR	CAPA	X	Y	TOPE_DE_CAPA	BASE_DE_CAPA
		[m]	[m]	[m MD]	[m MD]
PR-1219	K8	2555587	4919952	1988.80	1996.60
PR-1219	K9	2555587	4919952	2010.10	2018.60
PR-1219	Mkr_K	2555587	4919952	2026.80	2182.10
PR-1219	L1	2555587	4919952	2037.50	2044.60
PR-1219	L1A	2555587	4919952	2046.80	2052.60
PR-1219	L1B	2555587	4919952	2055.20	2069.30
PR-1219	L2	2555587	4919952	2099.90	2108.50
PR-1219	L3AC	2555587	4919952	2112.10	2118.20
PR-1219	L3B	2555587	4919952	2119.80	2132.30
PR-1219	L4	2555587	4919952	2135.80	2145.50
PR-1219	L4F	2555587	4919952	2155.10	2162.80
PR-1219	Mkr_L2	2555587	4919952	2182.10	2308.80
PR-1219	L5A	2555587	4919952	2184.70	2190.10
PR-1219	L5D	2555587	4919952	2203.10	2209.50
PR-1219	L5E	2555587	4919952	2209.90	2214.50
PR-1219	L5F	2555587	4919952	2215.40	2222.30
PR-1219	M4	2555587	4919952	2248.00	2261.50
PR-1219	M4A	2555587	4919952	2265.60	2269.50
PR-1219	M4C	2555587	4919952	2279.50	2283.30
PR-1219	M5	2555587	4919952	2288.10	2295.20
PR-1219	M6	2555587	4919952	2301.30	2308.10
PR-1219	Mkr_M7	2555587	4919952	2308.80	2494.10
PR-1219	M7	2555587	4919952	2311.60	2319.90
PR-1219	M7AB	2555587	4919952	2321.20	2330.50
PR-1219	M8	2555587	4919952	2332.20	2340.80
PR-1219	O1B	2555587	4919952	2358.50	2369.10
PR-1219	O3B	2555587	4919952	2379.10	2386.50
PR-1219	O4	2555587	4919952	2391.60	2404.80
PR-1219	P1B	2555587	4919952	2431.40	2435.60
PR-1219	P2	2555587	4919952	2437.90	2446.50
PR-1219	P3	2555587	4919952	2448.50	2462.60
PR-1219	Mkr_P	2555587	4919952	2494.10	2806.90
PR-1219	R2	2555587	4919952	2533.00	2543.20
PR-1219	R4	2555587	4919952	2582.10	2592.40
PR-1219	R5	2555587	4919952	2594.90	2604.30
PR-1219	R8	2555587	4919952	2646.10	2654.60
PR-1219	R8A	2555587	4919952	2658.40	2666.70
PR-1219	R8C	2555587	4919952	2674.30	2683.10
PR-1219	S1	2555587	4919952	2713.90	2724.90
PR-1219	S2	2555587	4919952	2751.10	2759.80
PR-1219	S4	2555587	4919952	2772.00	2783.80
PR-1219	Top-MEC-C	2555587	4919952	2806.90	2820.00
PR-1222	Mkr_C	2556231	4919963	1902.72	2032.02
PR-1222	K3	2556231	4919963	1905.58	1913.25
PR-1222	K4	2556231	4919963	1916.22	1923.40
PR-1222	K5	2556231	4919963	1937.75	1950.86
PR-1222	K7	2556231	4919963	1977.84	1983.28
PR-1222	K8	2556231	4919963	1993.43	1998.38
PR-1222	K9	2556231	4919963	2015.20	2024.36
PR-1222	Mkr_K	2556231	4919963	2032.02	2186.30
PR-1222	L1	2556231	4919963	2042.18	2049.11
PR-1222	L1A	2556231	4919963	2050.10	2056.28
